function_name,file,line_number,return_type,category,subcategory,fuzzing_priority,complexity,is_public_api,is_static,description,full_signature, fuzzed
sqlite3OsShmBarrier,os.c,173,void,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,void sqlite3OsShmBarrier(sqlite3_file *id){, False
sqlite3OsShmMap,os.c,179,int,OS,Operating System Interface,Low,Low,True,False,Operating System Interface function in OS subsystem,int sqlite3OsShmMap(, False
sqlite3OsShmUnmap,os.c,176,int,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsShmUnmap(sqlite3_file *id, int deleteFlag){", False
sqlite3OsSleep,os.c,284,int,OS,Operating System Interface,Low,Low,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsSleep(sqlite3_vfs *pVfs, int nMicro){", False
sqlite3OsSync,os.c,99,int,OS,Operating System Interface,Low,Low,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsSync(sqlite3_file *id, int flags){", False
sqlite3OsTruncate,os.c,96,int,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsTruncate(sqlite3_file *id, i64 size){", False
sqlite3OsUnfetch,os.c,197,int,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsUnfetch(sqlite3_file *id, i64 iOff, void *p){", False
sqlite3OsUnfetch,os.c,206,int,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsUnfetch(sqlite3_file *id, i64 iOff, void *p){", False
sqlite3OsWrite,os.c,92,int,OS,Operating System Interface,Low,Low,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsWrite(sqlite3_file *id, const void *pBuf, int amt, i64 offset){", False
sqlite3_os_init,os.c,349,return,OS,Operating System Interface,Low,Low,True,False,Operating System Interface function in OS subsystem,return sqlite3_os_init();, False
sqlite3_vfs_register,os.c,408,int,OS,Operating System Interface,Low,Medium,True,False,Operating System Interface function in OS subsystem,"int sqlite3_vfs_register(sqlite3_vfs *pVfs, int makeDflt){", False
sqlite3_vfs_unregister,os.c,436,int,OS,Operating System Interface,Low,High,True,False,Operating System Interface function in OS subsystem,int sqlite3_vfs_unregister(sqlite3_vfs *pVfs){, False
vfsUnlink,os.c,386,void,OS,Operating System Interface,Low,Low,False,True,Operating System Interface function in OS subsystem,static void vfsUnlink(sqlite3_vfs *pVfs){, False
analysisLoader,analyze.c,1593,int,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static int analysisLoader(void *pData, int argc, char **argv, char **NotUsed){", False
callStatGet,analyze.c,935,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void callStatGet(Parse *pParse, int regStat, int iParam, int regOut){", False
decodeIntArray,analyze.c,1520,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void decodeIntArray(, False
if,analyze.c,882,else,Optimization,Statistics Analysis,Low,Low,False,False,Statistics Analysis function in Optimization subsystem,else if( eCall==STAT_GET_ROWID ){, False
if,analyze.c,1572,else,Optimization,Statistics Analysis,Low,Low,False,False,Statistics Analysis function in Optimization subsystem,"else if( sqlite3_strglob(""costmult=[0-9]*"",z)==0 ){", False
initAvgEq,analyze.c,1683,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void initAvgEq(Index *pIdx){, False
loadAnalysis,analyze.c,1384,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void loadAnalysis(Parse *pParse, int iDb){", False
loadStat4,analyze.c,1903,int,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static int loadStat4(sqlite3 *db, const char *zDb){", False
loadStatTbl,analyze.c,1767,int,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static int loadStatTbl(, False
openStatTable,analyze.c,166,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void openStatTable(, False
sampleClear,analyze.c,307,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void sampleClear(sqlite3 *db, StatSample *p){", False
sampleCopy,analyze.c,348,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void sampleCopy(StatAccum *p, StatSample *pTo, StatSample *pFrom){", False
sampleIsBetter,analyze.c,535,int,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static int sampleIsBetter(, False
sampleIsBetterPost,analyze.c,511,int,Optimization,Statistics Analysis,Low,Medium,False,True,Statistics Analysis function in Optimization subsystem,static int sampleIsBetterPost(, False
samplePushPrevious,analyze.c,650,void,Optimization,Statistics Analysis,Low,Medium,False,True,Statistics Analysis function in Optimization subsystem,"static void samplePushPrevious(StatAccum *p, int iChng){", False
sampleSetRowid,analyze.c,319,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void sampleSetRowid(sqlite3 *db, StatSample *p, int n, const u8 *pData){", False
sampleSetRowidInt64,analyze.c,335,void,Optimization,Statistics Analysis,Low,Medium,False,True,Statistics Analysis function in Optimization subsystem,"static void sampleSetRowidInt64(sqlite3 *db, StatSample *p, i64 iRowid){", False
sqlite3AnalysisLoad,analyze.c,1942,int,Optimization,Statistics Analysis,Low,Medium,True,False,Statistics Analysis function in Optimization subsystem,"int sqlite3AnalysisLoad(sqlite3 *db, int iDb){", False
statAccumDestructor,analyze.c,366,void,Optimization,Statistics Analysis,Low,Medium,False,True,Statistics Analysis function in Optimization subsystem,static void statAccumDestructor(void *pOld){, False
statGet,analyze.c,818,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void statGet(, False
statInit,analyze.c,401,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void statInit(, False
statPush,analyze.c,702,void,Optimization,Statistics Analysis,Low,Low,False,True,Statistics Analysis function in Optimization subsystem,static void statPush(, False
AtomicLoad,main.c,1913,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,return AtomicLoad(&db->u1.isInterrupted)!=0;, False
AtomicLoad,pcache1.c,520,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,return AtomicLoad(&pcache1.bUnderPressure);, False
DbBusyHandler,tclsqlite.c,672,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int DbBusyHandler(void *cd, int nTries){", False
DbHookCmd,tclsqlite.c,2007,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void DbHookCmd(, False
DbProfileHandler,tclsqlite.c,803,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void DbProfileHandler(void *cd, const char *zSql, sqlite_uint64 tm){", False
DbProgressHandler,tclsqlite.c,689,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int DbProgressHandler(void *cd){, False
DbTraceHandler,tclsqlite.c,708,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void DbTraceHandler(void *cd, const char *zSql){", False
DbTraceV2Handler,tclsqlite.c,728,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int DbTraceV2Handler(, False
DbUseNre,tclsqlite.c,1879,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int DbUseNre(void){, False
DbWalHandler,tclsqlite.c,847,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int DbWalHandler(, False
MD5DigestToBase10x8,test_md5.c,295,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void MD5DigestToBase10x8(unsigned char digest[16], char zDigest[50]){", False
MD5DigestToBase16,test_md5.c,277,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void MD5DigestToBase16(unsigned char *digest, char *zBuf){", False
MD5Final,test_md5.c,236,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void MD5Final(unsigned char digest[16], MD5Context *ctx){", False
MD5Init,test_md5.c,173,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void MD5Init(MD5Context *ctx){, False
MD5Transform,test_md5.c,87,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void MD5Transform(uint32 buf[4], const uint32 in[16]){", False
Md5_Init,test_md5.c,393,int,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,int Md5_Init(Tcl_Interp *interp){, False
Md5_Register,test_md5.c,434,int,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,int Md5_Register(, False
Sqlite3_Init,test_thread.c,61,int,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,int Sqlite3_Init(Tcl_Interp *);, False
Sqliteconfig_Init,test_config.c,855,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqliteconfig_Init(Tcl_Interp *interp){, False
Sqlitemultiplex_Init,test_multiplex.c,1352,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitemultiplex_Init(Tcl_Interp *interp){, False
Sqlitequota_Init,test_quota.c,1935,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitequota_Init(Tcl_Interp *interp){, False
Sqlitetest1_Init,test_thread.c,60,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest1_Init(Tcl_Interp *);, False
Sqlitetest1_Init,test1.c,8981,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest1_Init(Tcl_Interp *interp){, False
Sqlitetest2_Init,test2.c,701,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest2_Init(Tcl_Interp *interp){, False
Sqlitetest3_Init,test3.c,660,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest3_Init(Tcl_Interp *interp){, False
Sqlitetest4_Init,test4.c,707,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest4_Init(Tcl_Interp *interp){, False
Sqlitetest4_Init,test4.c,736,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest4_Init(Tcl_Interp *interp){ return TCL_OK; }, False
Sqlitetest5_Init,test5.c,201,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest5_Init(Tcl_Interp *interp){, False
Sqlitetest6_Init,test6.c,1090,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest6_Init(Tcl_Interp *interp){, False
Sqlitetest8_Init,test8.c,1436,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest8_Init(Tcl_Interp *interp){, False
Sqlitetest9_Init,test9.c,184,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest9_Init(Tcl_Interp *interp){, False
SqlitetestOnefile_Init,test_onefile.c,830,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestOnefile_Init() {return fs_register();}, False
SqlitetestOsinst_Init,test_osinst.c,1216,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestOsinst_Init(Tcl_Interp *interp){, False
SqlitetestSyscall_Init,test_syscall.c,743,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestSyscall_Init(Tcl_Interp *interp){, False
SqlitetestSyscall_Init,test_syscall.c,758,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestSyscall_Init(Tcl_Interp *interp){, False
SqlitetestThread_Init,test_thread.c,636,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestThread_Init(Tcl_Interp *interp){, False
SqlitetestThread_Init,test_thread.c,660,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int SqlitetestThread_Init(Tcl_Interp *interp){, False
Sqlitetest_autoext_Init,test_autoext.c,203,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_autoext_Init(Tcl_Interp *interp){, False
Sqlitetest_blob_Init,test_blob.c,310,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest_blob_Init(Tcl_Interp *interp){, False
Sqlitetest_demovfs_Init,test_demovfs.c,673,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_demovfs_Init(Tcl_Interp *interp){, False
Sqlitetest_demovfs_Init,test_demovfs.c,680,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_demovfs_Init(Tcl_Interp *interp){ return TCL_OK; }, False
Sqlitetest_func_Init,test_func.c,932,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest_func_Init(Tcl_Interp *interp){, False
Sqlitetest_hexio_Init,test_hexio.c,456,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_hexio_Init(Tcl_Interp *interp){, False
Sqlitetest_init_Init,test_init.c,274,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetest_init_Init(Tcl_Interp *interp){, False
Sqlitetest_mutex_Init,test_mutex.c,475,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_mutex_Init(Tcl_Interp *interp){, False
Sqlitetest_window_Init,test_window.c,331,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetest_window_Init(Tcl_Interp *interp){, False
Sqlitetestfs_Init,test_fs.c,904,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetestfs_Init(Tcl_Interp *interp){, False
Sqlitetestintarray_Init,test_intarray.c,374,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetestintarray_Init(Tcl_Interp *interp){, False
Sqlitetestrtree_Init,test_rtree.c,499,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetestrtree_Init(Tcl_Interp *interp){, False
Sqlitetestschema_Init,test_schema.c,331,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetestschema_Init(Tcl_Interp *interp){, False
Sqlitetesttcl_Init,test_bestindex.c,869,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetesttcl_Init(Tcl_Interp *interp){, False
Sqlitetesttclvar_Init,test_tclvar.c,547,int,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,int Sqlitetesttclvar_Init(Tcl_Interp *interp){, False
Sqlitetestvfs_Init,test_vfs.c,1690,int,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,int Sqlitetestvfs_Init(Tcl_Interp *interp){, False
Tcl_NRCallObjProc,tclsqlite.c,3825,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,"return Tcl_NRCallObjProc(interp, DbObjCmd, cd, objc, objv);", False
Tcl_NREvalObj,tclsqlite.c,1981,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,"return Tcl_NREvalObj(interp, pScript, 0);", False
Tcl_NewByteArrayObj,tclsqlite.c,1848,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,"return Tcl_NewByteArrayObj((u8*)zBlob, bytes);", False
Tcl_NewDoubleObj,tclsqlite.c,1859,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,"return Tcl_NewDoubleObj(sqlite3_column_double(pStmt, iCol));", False
Tcl_NewIntObj,tclsqlite.c,1853,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,return Tcl_NewIntObj((int)v);, False
Tcl_NewStringObj,tclsqlite.c,1862,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,"return Tcl_NewStringObj(p->pDb->zNull, -1);", False
Tcl_NewStringObj,tclsqlite.c,1866,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,"return Tcl_NewStringObj((char*)sqlite3_column_text(pStmt, iCol), -1);", False
Tcl_NewWideIntObj,tclsqlite.c,1855,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,return Tcl_NewWideIntObj(v);, False
__builtin_add_overflow,util.c,1586,return,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,"return __builtin_add_overflow(*pA, iB, pA);", False
__builtin_bswap32,util.c,1453,return,Other,Unknown,Low,Medium,False,False,Unknown function in Other subsystem,return __builtin_bswap32(x);, False
__builtin_mul_overflow,util.c,1621,return,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,"return __builtin_mul_overflow(*pA, iB, pA);", False
__builtin_sub_overflow,util.c,1606,return,Other,Unknown,Low,High,False,False,Unknown function in Other subsystem,"return __builtin_sub_overflow(*pA, iB, pA);", False
_byteswap_ulong,util.c,1457,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,return _byteswap_ulong(x);, False
absFunc,func.c,194,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void absFunc(sqlite3_context *context, int argc, sqlite3_value **argv){", False
addArgumentToVtab,vtab.c,434,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void addArgumentToVtab(Parse *pParse){, False
addDatabaseRef,tclsqlite.c,592,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void addDatabaseRef(SqliteDb *pDb){, False
addIntTypeFunction,test1.c,1005,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void addIntTypeFunction(, False
addModuleArgument,vtab.c,359,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void addModuleArgument(Parse *pParse, Table *pTable, char *zArg){", False
addRealTypeFunction,test1.c,1014,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void addRealTypeFunction(, False
addSpaceSeparator,tokenize.c,771,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void addSpaceSeparator(sqlite3_str *pStr){, False
addTextTypeFunction,test1.c,996,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void addTextTypeFunction(, False
addToVTrans,vtab.c,756,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void addToVTrans(sqlite3 *db, VTable *pVTab){", False
adjustOrderByCol,wherecode.c,525,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void adjustOrderByCol(ExprList *pOrderBy, ExprList *pEList){", False
adjustStats,mem2.c,129,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void adjustStats(int iSize, int increment){", False
afpClose,os_unix.c,3370,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int afpClose(sqlite3_file *id) {, False
alignmentCollFunc,test1.c,3496,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int alignmentCollFunc(, False
allowedOp,whereexpr.c,99,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int allowedOp(int op){, False
appendAllPathElements,os_unix.c,6865,void,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,"static void appendAllPathElements(DbPath*,const char*);", False
appendAllPathElements,os_unix.c,6931,void,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,static void appendAllPathElements(, False
appendOnePathElement,os_unix.c,6870,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static void appendOnePathElement(, False
appendToEchoModule,test8.c,309,void,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static void appendToEchoModule(Tcl_Interp *interp, const char *zArg){", False
appendToList,test_vdbecov.c,35,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void appendToList(, False
areDoubleQuotedStringsEnabled,resolve.c,161,int,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,"static int areDoubleQuotedStringsEnabled(sqlite3 *db, NameContext *pTopNC){", False
attachFunc,attach.c,74,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void attachFunc(, False
autoAdjustDate,date.c,686,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void autoAdjustDate(DateTime *p){, False
avgFinalize,func.c,2013,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void avgFinalize(sqlite3_context *context){, False
bfs_query_func,test_rtree.c,325,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int bfs_query_func(sqlite3_rtree_query_info *p){, False
binCollFunc,main.c,1036,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int binCollFunc(, False
binCollFunc,main.c,1068,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,"return binCollFunc(pUser, nKey1, pKey1, nKey2, pKey2);", False
blobHandleFromObj,test_blob.c,51,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int blobHandleFromObj(, False
blobReadWrite,vdbeblob.c,381,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int blobReadWrite(, False
blobReadWrite,vdbeblob.c,472,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,"return blobReadWrite(pBlob, z, n, iOffset, sqlite3BtreePayloadChecked);", False
blobReadWrite,vdbeblob.c,479,return,Other,Unknown,Low,Low,False,False,Unknown function in Other subsystem,"return blobReadWrite(pBlob, (void *)z, n, iOffset, sqlite3BtreePutData);", False
blobSeekToRow,vdbeblob.c,54,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int blobSeekToRow(Incrblob *p, sqlite3_int64 iRow, char **pzErr){", False
broken_init,test_autoext.c,73,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int broken_init(, False
byteReverse,test_md5.c,61,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void byteReverse (unsigned char *buf, unsigned longs){", False
bytecodevtabClose,vdbevtab.c,147,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int bytecodevtabClose(sqlite3_vtab_cursor *cur){, False
bytecodevtabColumn,vdbevtab.c,198,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int bytecodevtabColumn(, False
bytecodevtabConnect,vdbevtab.c,50,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int bytecodevtabConnect(, False
bytecodevtabCursorClear,vdbevtab.c,129,void,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,static void bytecodevtabCursorClear(bytecodevtab_cursor *pCur){, False
bytecodevtabDisconnect,vdbevtab.c,106,int,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,static int bytecodevtabDisconnect(sqlite3_vtab *pVtab){, False
bytecodevtabEof,vdbevtab.c,189,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int bytecodevtabEof(sqlite3_vtab_cursor *cur){, False
bytecodevtabFilter,vdbevtab.c,333,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int bytecodevtabFilter(, False
bytecodevtabNext,vdbevtab.c,158,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int bytecodevtabNext(sqlite3_vtab_cursor *cur){, False
bytecodevtabOpen,vdbevtab.c,115,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static int bytecodevtabOpen(sqlite3_vtab *p, sqlite3_vtab_cursor **ppCursor){", False
bytecodevtabRowid,vdbevtab.c,321,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,"static int bytecodevtabRowid(sqlite3_vtab_cursor *cur, sqlite_int64 *pRowid){", False
bytelengthFunc,func.c,155,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void bytelengthFunc(, False
callCollNeeded,callback.c,23,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void callCollNeeded(sqlite3 *db, int enc, const char *zName){", False
callFinaliser,vtab.c,970,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void callFinaliser(sqlite3 *db, int offset){", False
carrayBindDel,carray.c,410,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void carrayBindDel(void *pPtr){, False
carrayClose,carray.c,159,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayClose(sqlite3_vtab_cursor *cur){, False
carrayColumn,carray.c,178,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayColumn(, False
carrayConnect,carray.c,110,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayConnect(, False
carrayDisconnect,carray.c,139,int,Other,Unknown,Low,Medium,False,True,Unknown function in Other subsystem,static int carrayDisconnect(sqlite3_vtab *pVtab){, False
carrayEof,carray.c,242,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayEof(sqlite3_vtab_cursor *cur){, False
carrayFilter,carray.c,251,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayFilter(, False
carrayNext,carray.c,168,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int carrayNext(sqlite3_vtab_cursor *cur){, False
carrayOpen,carray.c,147,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int carrayOpen(sqlite3_vtab *p, sqlite3_vtab_cursor **ppCursor){", False
carrayRowid,carray.c,232,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int carrayRowid(sqlite3_vtab_cursor *cur, sqlite_int64 *pRowid){", False
cdateFunc,date.c,1586,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void cdateFunc(, False
ceilingFunc,func.c,2460,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void ceilingFunc(, False
cf2Destroy,test1.c,1961,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void cf2Destroy(void *pUser){, False
cf2Final,test1.c,1959,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static void cf2Final(sqlite3_context *ctx){, False
cf2Func,test1.c,1955,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void cf2Func(sqlite3_context *ctx, int nArg, sqlite3_value **aArg){", False
cf2Step,test1.c,1957,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void cf2Step(sqlite3_context *ctx, int nArg, sqlite3_value **aArg){", False
cfAccess,test6.c,665,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int cfAccess(, False
cfClose,test6.c,395,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int cfClose(sqlite3_file *pFile){, False
cfCurrentTime,test6.c,707,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int cfCurrentTime(sqlite3_vfs *pCfVfs, double *pTimeOut){", False
cfDeviceCharacteristics,test6.c,541,int,Other,Unknown,Low,High,False,True,Unknown function in Other subsystem,static int cfDeviceCharacteristics(sqlite3_file *pFile){, False
cfDlClose,test6.c,695,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void cfDlClose(sqlite3_vfs *pCfVfs, void *pHandle){", False
cfDlError,test6.c,687,void,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static void cfDlError(sqlite3_vfs *pCfVfs, int nByte, char *zErrMsg){", False
cfFileControl,test6.c,519,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int cfFileControl(sqlite3_file *pFile, int op, void *pArg){", False
cfFileSize,test6.c,501,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int cfFileSize(sqlite3_file *pFile, sqlite_int64 *pSize){", False
cfFullPathname,test6.c,674,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,static int cfFullPathname(, False
cfGetLastError,test6.c,711,int,Other,Unknown,Low,Low,False,True,Unknown function in Other subsystem,"static int cfGetLastError(sqlite3_vfs *pCfVfs, int n, char *z){", False
